s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.7000912E+002, 9.4664021E+002,-4.8560570E+002,-1.9938218E+002,-2.7003396E+002,-1.6557967E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0365173E+000,-8.5472209E+000, 2.1739753E-002
 1.7101126E+002, 9.7184167E+002,-4.9371273E+002,-2.1192284E+002,-2.5976787E+002,-1.1591623E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8117723E+000, 6.3223069E+000, 2.1739753E-002
 1.7200801E+002, 1.0299280E+003,-5.1193165E+002,-2.4419453E+002,-2.7066159E+002,-1.8440284E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5541669E+000, 2.9557924E+000, 2.1739753E-002
 1.7300778E+002, 9.8305813E+002,-4.9707055E+002,-2.1670084E+002,-2.6809030E+002,-1.7280516E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3709649E+000, 1.0236340E+000, 2.1739753E-002
 1.7400452E+002, 1.0126384E+003,-5.0460857E+002,-2.4550690E+002,-2.6274825E+002,-2.1964640E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1264053E-001,-4.4494455E-001, 2.1739753E-002
 1.7500304E+002, 1.0035908E+003,-4.9855333E+002,-2.5360523E+002,-2.5548426E+002,-2.9468139E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6039012E+000,-4.3467201E+000, 2.1739753E-002
 1.7600005E+002, 8.9294735E+002,-4.6825731E+002,-1.7458795E+002,-2.5063935E+002,-4.2374275E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5075855E-001,-9.6100962E-001, 2.1739753E-002
 1.7700632E+002, 1.0532533E+003,-5.1544699E+002,-2.7433701E+002,-2.5166612E+002, 1.7724625E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0946997E+000, 1.1820858E+001, 2.1739753E-002
 1.7800381E+002, 9.7681514E+002,-4.9014623E+002,-2.3669475E+002,-2.4958415E+002,-6.3519782E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1095050E-001, 3.2648412E-001, 2.1739753E-002
 1.7900163E+002, 1.0807944E+003,-5.2355649E+002,-2.9546340E+002,-2.5728355E+002,-1.4262464E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4648273E+000, 4.3482997E+000, 2.1739753E-002
 1.8001010E+002, 9.5039543E+002,-4.8492560E+002,-2.1107856E+002,-2.5766355E+002,-1.1163308E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4949506E+000,-3.3839070E+000, 2.1739753E-002
 1.8100240E+002, 1.0620840E+003,-5.1270389E+002,-2.8694559E+002,-2.5309921E+002, 1.8183866E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0831806E+000, 9.5170991E+000, 2.1739753E-002
 1.8200574E+002, 9.5835460E+002,-4.8814678E+002,-2.1513746E+002,-2.6142935E+002, 4.4522481E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5327933E+000,-6.3144721E+000, 2.1739753E-002
 1.8300508E+002, 1.0144785E+003,-5.0130733E+002,-2.5477270E+002,-2.4888812E+002,-1.1918862E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9569423E+000, 9.3911763E+000, 2.1739753E-002
 1.8400824E+002, 9.7943264E+002,-4.9780132E+002,-2.2829266E+002,-2.5405615E+002, 6.5734849E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9288240E-001,-6.5175490E-001, 2.1739753E-002
 1.8500014E+002, 1.0330081E+003,-5.1253606E+002,-2.6065920E+002,-2.4986460E+002, 6.8646062E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4882805E+000, 9.9551131E+000, 2.1739753E-002
 1.8600993E+002, 9.7484522E+002,-5.0233480E+002,-2.1097256E+002,-2.6183014E+002,-3.7505036E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8112124E-001,-6.6733400E-001, 2.1739753E-002
 1.8700726E+002, 1.0007371E+003,-5.0679191E+002,-2.3785413E+002,-2.6089554E+002,-1.5658468E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3978412E+000,-4.9610992E+000, 2.1739753E-002
 1.8800955E+002, 9.8841145E+002,-5.0099486E+002,-2.3352277E+002,-2.5534376E+002,-2.9848485E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7040662E-001,-1.7484202E+000, 2.1739753E-002
 1.8900443E+002, 1.0509150E+003,-5.2107603E+002,-2.6530003E+002,-2.5480963E+002,-1.6468362E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1571426E+001, 9.5645939E+000, 2.1739753E-002
 1.9000227E+002, 9.8275370E+002,-5.0077490E+002,-2.3048609E+002,-2.5833530E+002, 5.7050175E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7293161E+000,-6.7855387E+000, 2.1739753E-002
 1.9100894E+002, 9.7361954E+002,-4.9311334E+002,-2.3681695E+002,-2.4853810E+002,-1.4656411E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5216893E+000,-4.9954050E+000, 2.1739753E-002
 1.9200055E+002, 8.9192381E+002,-4.6818764E+002,-1.8082682E+002,-2.4145489E+002,-2.1697504E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5436506E+000, 1.2374795E+000, 2.1739753E-002
 1.9300731E+002, 9.4742875E+002,-4.7906539E+002,-2.2681001E+002,-2.4128692E+002,-1.4914269E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3214659E-001, 1.1728364E-001, 2.1739753E-002
 1.9400014E+002, 1.1016190E+003,-5.2430652E+002,-3.1876750E+002,-2.4800265E+002, 7.1749817E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0095888E+001, 1.0614119E+001, 2.1739753E-002
 1.9500810E+002, 1.0047605E+003,-5.0092318E+002,-2.5088311E+002,-2.5095714E+002,-8.7016008E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2227584E+000, 1.9100417E+000, 2.1739753E-002
 1.9600716E+002, 9.9908766E+002,-5.0091148E+002,-2.4324826E+002,-2.5474500E+002,-3.1916049E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4301090E-001,-1.3623729E-001, 2.1739753E-002
 1.9700488E+002, 1.0054143E+003,-5.0199086E+002,-2.4666137E+002,-2.5380678E+002,-2.9232220E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3991626E+000, 2.6629977E+000, 2.1739753E-002
 1.9800537E+002, 9.8054182E+002,-4.9856090E+002,-2.3376781E+002,-2.5308562E+002,-1.8358978E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2737827E+000,-5.0560972E+000, 2.1739753E-002
 1.9900206E+002, 1.0840553E+003,-5.3127191E+002,-2.8520859E+002,-2.5710496E+002,-7.7056642E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8688821E+000, 1.0392753E+001, 2.1739753E-002
 2.0000330E+002, 9.2857617E+002,-4.8898129E+002,-1.8288966E+002,-2.6403188E+002,-5.0505973E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3712516E+000,-7.8317254E+000, 2.1739753E-002
 2.0100458E+002, 1.0291298E+003,-5.1224969E+002,-2.5772373E+002,-2.5046797E+002,-1.7924480E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6139621E+000, 8.5091890E+000, 2.1739753E-002
 2.0200777E+002, 9.6287113E+002,-5.0293487E+002,-2.0622823E+002,-2.5422817E+002,-6.4663272E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4527414E+000,-5.8480484E-001, 2.1739753E-002
 2.0300348E+002, 1.0313669E+003,-5.1838167E+002,-2.5308030E+002,-2.5438504E+002,-2.8997802E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5650089E+000, 5.2299539E+000, 2.1739753E-002
 2.0400600E+002, 1.0508136E+003,-5.1903953E+002,-2.6883813E+002,-2.6082866E+002, 5.3474411E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5467833E-001, 2.1607794E+000, 2.1739753E-002
 2.0500818E+002, 9.6539999E+002,-4.9610269E+002,-2.0657038E+002,-2.6434500E+002,-9.4101109E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7579156E+000,-1.6274864E+000, 2.1739753E-002
 2.0600601E+002, 1.0036311E+003,-5.0566186E+002,-2.3098606E+002,-2.6400629E+002, 1.4639142E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9742734E+000, 2.9914900E+000, 2.1739753E-002
