s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.3600000E+002, 0.0000000E+000, 1.6546110E-003,-4.1778628E-002,-1.1366253E-002,-1.6709595E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3335650E-004,-2.1858622E-001, 1.6927559E-004
 1.3680000E+002, 0.0000000E+000, 1.6341728E-003,-3.5361228E-002,-1.3751253E-002,-2.4715068E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5325201E-005,-2.9462899E-001, 1.6912332E-004
 1.3760001E+002, 0.0000000E+000, 1.5935485E-003,-3.7248259E-002,-1.4906429E-002,-2.6324048E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3438365E-003,-3.1380162E-001, 1.6610064E-004
 1.3839999E+002, 0.0000000E+000, 1.6016416E-003,-3.7709845E-002,-1.3541847E-002,-2.1902200E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8061730E-004,-2.6867205E-001, 1.6647530E-004
 1.3920000E+002, 0.0000000E+000, 1.6140546E-003,-4.0232737E-002,-1.4417668E-002,-2.0979897E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3452640E-004,-2.6283532E-001, 1.6712996E-004
 1.4000000E+002, 0.0000000E+000, 1.6294190E-003,-4.2828976E-002,-1.7084234E-002,-2.4655735E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5157431E-005,-3.0484114E-001, 1.6787947E-004
 1.4080000E+002, 0.0000000E+000, 1.6321273E-003,-3.8444013E-002,-1.8150113E-002,-2.6640133E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1305761E-004,-3.2136333E-001, 1.6864066E-004
 1.4160001E+002, 0.0000000E+000, 1.6251619E-003,-3.7282986E-002,-2.1879880E-002,-2.9394073E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7622955E-004,-3.5147843E-001, 1.6938220E-004
 1.4239999E+002, 0.0000000E+000, 1.6413901E-003,-4.4324059E-002,-2.6745574E-002,-3.3055053E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7073888E-004,-3.9997878E-001, 1.7008955E-004
 1.4320000E+002, 0.0000000E+000, 1.6429338E-003,-4.5870526E-002,-2.7732561E-002,-3.4585200E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3081903E-004,-4.1781215E-001, 1.7075758E-004
