s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.7900539E+002, 2.8752976E+002,-1.2121954E+002,-7.7857387E+001,-8.8962656E+001,-5.4104872E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1658518E-001,-5.6392342E-001, 6.5219258E-003
 1.8000383E+002, 3.1398120E+002,-1.2850847E+002,-9.6863533E+001,-8.8052762E+001,-9.8600216E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1241203E+000, 4.5783826E-001, 6.5219258E-003
 1.8100351E+002, 2.9026929E+002,-1.2192191E+002,-7.9600524E+001,-8.8890020E+001,-4.9168247E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8076332E-002,-1.9233183E-001, 6.5219258E-003
 1.8200888E+002, 3.0896739E+002,-1.2797033E+002,-9.2235582E+001,-8.8578360E+001, 1.9524287E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7033540E-001, 2.0264255E-001, 6.5219258E-003
 1.8301060E+002, 2.8668670E+002,-1.2033602E+002,-7.8108417E+001,-8.8378715E+001,-7.6588089E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2800364E-001,-2.1304731E-001, 6.5219258E-003
 1.8400264E+002, 3.0454045E+002,-1.2606016E+002,-8.9519935E+001,-8.7642410E+001,-6.7654341E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4596207E+000, 1.3172697E+000, 6.5219258E-003
 1.8500995E+002, 2.9616180E+002,-1.2296861E+002,-8.4611334E+001,-8.9649706E+001,-5.6831082E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5603360E-001,-1.1246815E+000, 6.5219258E-003
 1.8601164E+002, 2.9162920E+002,-1.2245121E+002,-7.8271470E+001,-9.0235385E+001,-3.5049710E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0208726E+000, 6.3608487E-001, 6.5219258E-003
 1.8700488E+002, 3.0871955E+002,-1.2730288E+002,-9.1149445E+001,-9.0159578E+001,-2.9816939E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6641617E-001, 7.7832205E-002, 6.5219258E-003
 1.8800294E+002, 3.0651911E+002,-1.2681870E+002,-8.9467739E+001,-9.0008651E+001,-3.3139313E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8620386E-001, 1.9089002E-001, 6.5219258E-003
 1.8901259E+002, 2.9290357E+002,-1.2293530E+002,-7.9911593E+001,-9.0202217E+001,-3.8355861E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1991015E-001,-1.8388899E-001, 6.5219258E-003
 1.9001367E+002, 3.0381382E+002,-1.2631378E+002,-8.7815524E+001,-9.0283414E+001,-1.0418781E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9625059E-002,-7.0307853E-001, 6.5219258E-003
 1.9100655E+002, 3.0552756E+002,-1.2684900E+002,-8.8838680E+001,-8.8734367E+001,-3.2737799E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5755452E+000, 1.0727713E+000, 6.5219258E-003
 1.9200206E+002, 2.8880432E+002,-1.2131355E+002,-7.9456326E+001,-8.8980227E+001,-4.9819734E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8219549E-001,-9.9560806E-001, 6.5219258E-003
 1.9301146E+002, 2.9783442E+002,-1.2467644E+002,-8.3936032E+001,-8.9321362E+001,-1.1913383E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8342046E-001,-2.1853948E-001, 6.5219258E-003
 1.9401164E+002, 2.9803032E+002,-1.2476781E+002,-8.5182053E+001,-8.8366214E+001,-1.0382413E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4072430E-001,-3.8958365E-001, 6.5219258E-003
