s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.2560000E+002, 0.0000000E+000, 1.5525831E-003,-5.4551589E-002,-1.4703548E-002,-2.0409276E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2509785E-004,-2.7179531E-001, 1.5311683E-004
 1.2640000E+002, 0.0000000E+000, 1.5420162E-003,-5.4703400E-002,-1.5332176E-002,-2.2680432E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7840320E-004,-2.9529788E-001, 1.5378107E-004
 1.2720000E+002, 0.0000000E+000, 1.5147546E-003,-5.6065661E-002,-1.3460585E-002,-1.9112976E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3505435E-004,-2.5914126E-001, 1.5440659E-004
 1.2800000E+002, 0.0000000E+000, 1.4733991E-003,-5.9555307E-002,-9.5812560E-003,-1.1599368E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5810603E-003,-1.8365684E-001, 1.5499828E-004
 1.2880000E+002, 0.0000000E+000, 1.4617535E-003,-5.7527830E-002,-1.1338575E-002,-1.4337385E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5229036E-004,-2.1077850E-001, 1.5555961E-004
 1.2960001E+002, 0.0000000E+000, 1.4714626E-003,-5.1997965E-002,-1.7938707E-002,-2.7023428E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3054067E-003,-3.3869948E-001, 1.5609302E-004
 1.3039999E+002, 0.0000000E+000, 1.4963167E-003,-5.5109868E-002,-1.5245037E-002,-1.7208086E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3213544E-004,-2.4093945E-001, 1.5660216E-004
 1.3120000E+002, 0.0000000E+000, 1.5005541E-003,-5.9737244E-002,-1.0262685E-002,-9.7876060E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2695789E-003,-1.6637543E-001, 1.5708982E-004
 1.3200000E+002, 0.0000000E+000, 1.5041171E-003,-5.7173939E-002,-8.6944508E-003,-6.7916815E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6267506E-005,-1.3228109E-001, 1.5755811E-004
 1.3280000E+002, 0.0000000E+000, 1.5289263E-003,-5.5011781E-002,-1.0282959E-002,-9.0805001E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2640572E-004,-1.5457082E-001, 1.5800982E-004
 1.3360001E+002, 0.0000000E+000, 1.5574229E-003,-5.4133512E-002,-1.2651290E-002,-1.6446986E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3762894E-004,-2.2969724E-001, 1.5844551E-004
 1.3439999E+002, 0.0000000E+000, 1.5412132E-003,-5.2537250E-002,-1.2078638E-002,-2.0286572E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0225116E-003,-2.6594039E-001, 1.5886574E-004
 1.3520000E+002, 0.0000000E+000, 1.5385115E-003,-5.7852395E-002,-1.1844396E-002,-1.9945732E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4458475E-004,-2.6761560E-001, 1.5927303E-004
 1.3600000E+002, 0.0000000E+000, 1.5337952E-003,-5.7491220E-002,-1.6870118E-002,-2.3756473E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9334036E-004,-3.1039228E-001, 1.5966536E-004
 1.3680000E+002, 0.0000000E+000, 1.5168473E-003,-5.4439785E-002,-1.7241763E-002,-2.5252341E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0151722E-004,-3.2268811E-001, 1.6004555E-004
